id,id_personaje,personaje,genero,genero_estado,origen,codigo_origen,atuendo,ambito,nombre_oficial,pagina_personaje,fuente_atuendo,fuente_anexo,fuente_imagen,licencia,imagen_incluida,tipo_imagen,archivo,estado_verificacion
ff1-arylon-apariencia_principal,ff1-arylon,Arylon,hombre,clasificacion_canonica_pendiente_de_cita_individual,Final Fantasy I,ff1,Apariencia principal,juego de origen,False,https://na.finalfantasy.com/titles/finalfantasy,https://na.finalfantasy.com/titles/finalfantasy,https://es.wikipedia.org/wiki/Anexo:Personajes_de_Final_Fantasy,,no determinada,False,marcador_local,hombre/arylon.svg,descripcion_controlada
ff1-astos-apariencia_principal,ff1-astos,Astos,hombre,clasificacion_canonica_pendiente_de_cita_individual,Final Fantasy I,ff1,Apariencia principal,juego de origen,False,https://na.finalfantasy.com/titles/finalfantasy,https://na.finalfantasy.com/titles/finalfantasy,https://es.wikipedia.org/wiki/Anexo:Personajes_de_Final_Fantasy,,no determinada,False,marcador_local,hombre/astos.svg,descripcion_controlada
ff1-bahamut-apariencia_principal,ff1-bahamut,Bahamut,otro,revision_manual,Final Fantasy I,ff1,Apariencia principal,juego de origen,False,https://na.finalfantasy.com/titles/finalfantasy,https://na.finalfantasy.com/titles/finalfantasy,https://es.wikipedia.org/wiki/Anexo:Personajes_de_Final_Fantasy,,no determinada,False,marcador_local,otro/bahamut/apariencia_principal.svg,descripcion_controlada
ff1-bikke-apariencia_principal,ff1-bikke,Bikke,hombre,clasificacion_canonica_pendiente_de_cita_individual,Final Fantasy I,ff1,Apariencia principal,juego de origen,False,https://na.finalfantasy.com/titles/finalfantasy,https://na.finalfantasy.com/titles/finalfantasy,https://es.wikipedia.org/wiki/Anexo:Personajes_de_Final_Fantasy,,no determinada,False,marcador_local,hombre/bikke.svg,descripcion_controlada
ff1-chaos-apariencia_principal,ff1-chaos,Chaos,otro,revision_manual,Final Fantasy I,ff1,Apariencia principal,juego de origen,False,https://na.finalfantasy.com/titles/finalfantasy,https://na.finalfantasy.com/titles/finalfantasy,https://es.wikipedia.org/wiki/Anexo:Personajes_de_Final_Fantasy,,no determinada,False,marcador_local,otro/chaos/apariencia_principal.svg,descripcion_controlada
ff1-darryl-apariencia_principal,ff1-darryl,Darryl,hombre,clasificacion_canonica_pendiente_de_cita_individual,Final Fantasy I,ff1,Apariencia principal,juego de origen,False,https://na.finalfantasy.com/titles/finalfantasy,https://na.finalfantasy.com/titles/finalfantasy,https://es.wikipedia.org/wiki/Anexo:Personajes_de_Final_Fantasy,,no determinada,False,marcador_local,hombre/darryl.svg,descripcion_controlada
ff1-garland-apariencia_principal,ff1-garland,Garland,hombre,clasificacion_canonica_pendiente_de_cita_individual,Final Fantasy I,ff1,Apariencia principal,juego de origen,False,https://na.finalfantasy.com/titles/finalfantasy,https://na.finalfantasy.com/titles/finalfantasy,https://es.wikipedia.org/wiki/Anexo:Personajes_de_Final_Fantasy,,no determinada,False,marcador_local,hombre/garland.svg,descripcion_controlada
ff1-guerrero-caballero,ff1-guerrero,Guerrero,hombre,clasificacion_canonica_pendiente_de_cita_individual,Final Fantasy I,ff1,Caballero,juego principal,True,https://na.finalfantasy.com/titles/finalfantasy,https://es.wikipedia.org/wiki/Anexo:Personajes_de_Final_Fantasy,https://es.wikipedia.org/wiki/Anexo:Personajes_de_Final_Fantasy,,no determinada,False,marcador_local,hombre/guerrero/caballero.svg,verificado_lista
ff1-guerrero-guerrero,ff1-guerrero,Guerrero,hombre,clasificacion_canonica_pendiente_de_cita_individual,Final Fantasy I,ff1,Guerrero,juego principal,True,https://na.finalfantasy.com/titles/finalfantasy,https://es.wikipedia.org/wiki/Anexo:Personajes_de_Final_Fantasy,https://es.wikipedia.org/wiki/Anexo:Personajes_de_Final_Fantasy,,no determinada,False,marcador_local,hombre/guerrero/guerrero.svg,verificado_lista
ff1-jim-apariencia_principal,ff1-jim,Jim,hombre,clasificacion_canonica_pendiente_de_cita_individual,Final Fantasy I,ff1,Apariencia principal,juego de origen,False,https://na.finalfantasy.com/titles/finalfantasy,https://na.finalfantasy.com/titles/finalfantasy,https://es.wikipedia.org/wiki/Anexo:Personajes_de_Final_Fantasy,,no determinada,False,marcador_local,hombre/jim.svg,descripcion_controlada
ff1-koppe-apariencia_principal,ff1-koppe,Koppe,hombre,clasificacion_canonica_pendiente_de_cita_individual,Final Fantasy I,ff1,Apariencia principal,juego de origen,False,https://na.finalfantasy.com/titles/finalfantasy,https://na.finalfantasy.com/titles/finalfantasy,https://es.wikipedia.org/wiki/Anexo:Personajes_de_Final_Fantasy,,no determinada,False,marcador_local,hombre/koppe.svg,descripcion_controlada
ff1-kraken-apariencia_principal,ff1-kraken,Kraken,otro,revision_manual,Final Fantasy I,ff1,Apariencia principal,juego de origen,False,https://na.finalfantasy.com/titles/finalfantasy,https://na.finalfantasy.com/titles/finalfantasy,https://es.wikipedia.org/wiki/Anexo:Personajes_de_Final_Fantasy,,no determinada,False,marcador_local,otro/kraken.svg,descripcion_controlada
ff1-ladron-ladron,ff1-ladron,Ladrón,hombre,clasificacion_canonica_pendiente_de_cita_individual,Final Fantasy I,ff1,Ladrón,juego principal,True,https://na.finalfantasy.com/titles/finalfantasy,https://es.wikipedia.org/wiki/Anexo:Personajes_de_Final_Fantasy,https://es.wikipedia.org/wiki/Anexo:Personajes_de_Final_Fantasy,,no determinada,False,marcador_local,hombre/ladron/ladron.svg,verificado_lista
ff1-ladron-ninja,ff1-ladron,Ladrón,hombre,clasificacion_canonica_pendiente_de_cita_individual,Final Fantasy I,ff1,Ninja,juego principal,True,https://na.finalfantasy.com/titles/finalfantasy,https://es.wikipedia.org/wiki/Anexo:Personajes_de_Final_Fantasy,https://es.wikipedia.org/wiki/Anexo:Personajes_de_Final_Fantasy,,no determinada,False,marcador_local,hombre/ladron/ninja.svg,verificado_lista
ff1-lich-apariencia_principal,ff1-lich,Lich,otro,revision_manual,Final Fantasy I,ff1,Apariencia principal,juego de origen,False,https://na.finalfantasy.com/titles/finalfantasy,https://na.finalfantasy.com/titles/finalfantasy,https://es.wikipedia.org/wiki/Anexo:Personajes_de_Final_Fantasy,,no determinada,False,marcador_local,otro/lich.svg,descripcion_controlada
ff1-lukahn-apariencia_principal,ff1-lukahn,Lukahn,hombre,clasificacion_canonica_pendiente_de_cita_individual,Final Fantasy I,ff1,Apariencia principal,juego de origen,False,https://na.finalfantasy.com/titles/finalfantasy,https://na.finalfantasy.com/titles/finalfantasy,https://es.wikipedia.org/wiki/Anexo:Personajes_de_Final_Fantasy,,no determinada,False,marcador_local,hombre/lukahn.svg,descripcion_controlada
ff1-maga_blanca-hechicero_blanco,ff1-maga_blanca,Maga Blanca,otro,revision_manual,Final Fantasy I,ff1,Hechicero Blanco,juego principal,True,https://na.finalfantasy.com/titles/finalfantasy,https://es.wikipedia.org/wiki/Anexo:Personajes_de_Final_Fantasy,https://es.wikipedia.org/wiki/Anexo:Personajes_de_Final_Fantasy,,no determinada,False,marcador_local,otro/maga_blanca/hechicero_blanco.svg,verificado_lista
ff1-maga_blanca-maga_blanca,ff1-maga_blanca,Maga Blanca,otro,revision_manual,Final Fantasy I,ff1,Maga Blanca,juego principal,True,https://na.finalfantasy.com/titles/finalfantasy,https://es.wikipedia.org/wiki/Anexo:Personajes_de_Final_Fantasy,https://es.wikipedia.org/wiki/Anexo:Personajes_de_Final_Fantasy,,no determinada,False,marcador_local,otro/maga_blanca/maga_blanca.svg,verificado_lista
ff1-mago_negro-hechicero_negro,ff1-mago_negro,Mago Negro,hombre,clasificacion_canonica_pendiente_de_cita_individual,Final Fantasy I,ff1,Hechicero Negro,juego principal,True,https://na.finalfantasy.com/titles/finalfantasy,https://es.wikipedia.org/wiki/Anexo:Personajes_de_Final_Fantasy,https://es.wikipedia.org/wiki/Anexo:Personajes_de_Final_Fantasy,,no determinada,False,marcador_local,hombre/mago_negro/hechicero_negro.svg,verificado_lista
ff1-mago_negro-mago_negro,ff1-mago_negro,Mago Negro,hombre,clasificacion_canonica_pendiente_de_cita_individual,Final Fantasy I,ff1,Mago Negro,juego principal,True,https://na.finalfantasy.com/titles/finalfantasy,https://es.wikipedia.org/wiki/Anexo:Personajes_de_Final_Fantasy,https://es.wikipedia.org/wiki/Anexo:Personajes_de_Final_Fantasy,,no determinada,False,marcador_local,hombre/mago_negro/mago_negro.svg,verificado_lista
ff1-mago_rojo-hechicero_rojo,ff1-mago_rojo,Mago Rojo,hombre,clasificacion_canonica_pendiente_de_cita_individual,Final Fantasy I,ff1,Hechicero Rojo,juego principal,True,https://na.finalfantasy.com/titles/finalfantasy,https://es.wikipedia.org/wiki/Anexo:Personajes_de_Final_Fantasy,https://es.wikipedia.org/wiki/Anexo:Personajes_de_Final_Fantasy,,no determinada,False,marcador_local,hombre/mago_rojo/hechicero_rojo.svg,verificado_lista
ff1-mago_rojo-mago_rojo,ff1-mago_rojo,Mago Rojo,hombre,clasificacion_canonica_pendiente_de_cita_individual,Final Fantasy I,ff1,Mago Rojo,juego principal,True,https://na.finalfantasy.com/titles/finalfantasy,https://es.wikipedia.org/wiki/Anexo:Personajes_de_Final_Fantasy,https://es.wikipedia.org/wiki/Anexo:Personajes_de_Final_Fantasy,,no determinada,False,marcador_local,hombre/mago_rojo/mago_rojo.svg,verificado_lista
ff1-marilith-apariencia_principal,ff1-marilith,Marilith,otro,revision_manual,Final Fantasy I,ff1,Apariencia principal,juego de origen,False,https://na.finalfantasy.com/titles/finalfantasy,https://na.finalfantasy.com/titles/finalfantasy,https://es.wikipedia.org/wiki/Anexo:Personajes_de_Final_Fantasy,,no determinada,False,marcador_local,otro/marilith.svg,descripcion_controlada
ff1-matoya-apariencia_principal,ff1-matoya,Matoya,mujer,clasificacion_canonica_pendiente_de_cita_individual,Final Fantasy I,ff1,Apariencia principal,juego de origen,False,https://na.finalfantasy.com/titles/finalfantasy,https://na.finalfantasy.com/titles/finalfantasy,https://es.wikipedia.org/wiki/Anexo:Personajes_de_Final_Fantasy,,no determinada,False,marcador_local,mujer/matoya.svg,descripcion_controlada
ff1-monje-gran_maestro,ff1-monje,Monje,hombre,clasificacion_canonica_pendiente_de_cita_individual,Final Fantasy I,ff1,Gran Maestro,juego principal,True,https://na.finalfantasy.com/titles/finalfantasy,https://es.wikipedia.org/wiki/Anexo:Personajes_de_Final_Fantasy,https://es.wikipedia.org/wiki/Anexo:Personajes_de_Final_Fantasy,,no determinada,False,marcador_local,hombre/monje/gran_maestro.svg,verificado_lista
